AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
32.0|2.0|19.0|5.0|5510.0|2.0|7.0|40.0|2.0|1.0|True|AK
61.0|4.0|16.0|1.0|4220.0|2.0|1.0|40.0|1.0|4.0|False|AK
65.0|2.0|21.0|1.0|6200.0|2.0|0.0|35.0|1.0|9.0|True|AK
38.0|1.0|17.0|4.0|310.0|46.0|0.0|30.0|2.0|1.0|False|AK
50.0|1.0|21.0|1.0|3255.0|328.0|0.0|50.0|2.0|2.0|True|AK
44.0|4.0|21.0|1.0|5700.0|332.0|1.0|40.0|1.0|2.0|False|AK
49.0|3.0|19.0|5.0|5120.0|2.0|0.0|30.0|1.0|4.0|False|AK
18.0|3.0|14.0|5.0|5700.0|2.0|3.0|18.0|1.0|4.0|False|AK
22.0|3.0|16.0|5.0|3850.0|2.0|0.0|50.0|1.0|4.0|False|AK
53.0|1.0|19.0|3.0|3030.0|36.0|0.0|40.0|2.0|1.0|False|AK
17.0|1.0|19.0|5.0|4720.0|36.0|2.0|32.0|2.0|1.0|False|AK
51.0|6.0|20.0|1.0|7200.0|2.0|0.0|60.0|1.0|1.0|False|AK
49.0|1.0|16.0|1.0|5310.0|36.0|1.0|40.0|2.0|1.0|False|AK
42.0|7.0|23.0|1.0|2100.0|27.0|0.0|25.0|2.0|1.0|True|AK
47.0|1.0|22.0|1.0|3160.0|34.0|1.0|35.0|1.0|1.0|True|AK
52.0|4.0|20.0|3.0|5820.0|2.0|0.0|36.0|2.0|4.0|True|AK
52.0|1.0|16.0|5.0|430.0|53.0|13.0|40.0|1.0|1.0|False|AK
63.0|6.0|20.0|3.0|10.0|2.0|0.0|16.0|2.0|9.0|False|AK
38.0|1.0|19.0|5.0|5510.0|2.0|2.0|40.0|1.0|9.0|False|AK
74.0|2.0|21.0|2.0|2000.0|2.0|0.0|40.0|2.0|4.0|True|AK
27.0|1.0|19.0|5.0|9130.0|2.0|0.0|45.0|1.0|9.0|False|AK
63.0|2.0|21.0|1.0|100.0|55.0|0.0|40.0|2.0|1.0|True|AK
65.0|2.0|20.0|1.0|430.0|4.0|1.0|40.0|1.0|1.0|True|AK
54.0|4.0|16.0|1.0|2540.0|2.0|0.0|21.0|2.0|4.0|False|AK
53.0|3.0|19.0|1.0|8620.0|2.0|1.0|40.0|1.0|4.0|False|AK
28.0|3.0|11.0|5.0|3850.0|2.0|2.0|30.0|1.0|4.0|False|AK
61.0|1.0|19.0|3.0|4965.0|26.0|0.0|39.0|2.0|1.0|False|AK
28.0|3.0|18.0|1.0|2025.0|2.0|0.0|35.0|2.0|4.0|False|AK
30.0|1.0|19.0|1.0|7340.0|2.0|1.0|50.0|1.0|4.0|False|AK
56.0|1.0|16.0|3.0|4060.0|6.0|0.0|32.0|2.0|1.0|False|AK
28.0|1.0|18.0|5.0|5410.0|2.0|2.0|35.0|1.0|1.0|False|AK
59.0|1.0|16.0|1.0|220.0|2.0|0.0|30.0|1.0|1.0|True|AK
62.0|2.0|22.0|1.0|2040.0|36.0|0.0|50.0|1.0|1.0|True|AK
64.0|2.0|16.0|1.0|4600.0|18.0|1.0|40.0|2.0|1.0|False|AK
63.0|5.0|21.0|1.0|5000.0|31.0|0.0|40.0|1.0|1.0|True|AK
63.0|3.0|21.0|1.0|2310.0|31.0|1.0|16.0|2.0|1.0|False|AK
39.0|1.0|16.0|3.0|4760.0|110.0|2.0|40.0|1.0|1.0|False|AK
33.0|6.0|18.0|1.0|2630.0|49.0|0.0|40.0|1.0|1.0|True|AK
32.0|2.0|21.0|1.0|850.0|132.0|0.0|50.0|1.0|1.0|True|AK
29.0|2.0|19.0|1.0|5400.0|233.0|1.0|40.0|2.0|6.0|False|AK
56.0|3.0|22.0|1.0|2310.0|6.0|0.0|40.0|2.0|1.0|True|AK
57.0|1.0|19.0|1.0|7410.0|32.0|1.0|40.0|1.0|1.0|True|AK
30.0|1.0|21.0|4.0|5940.0|53.0|0.0|40.0|2.0|1.0|False|AK
35.0|5.0|19.0|3.0|565.0|53.0|12.0|40.0|1.0|1.0|True|AK
70.0|2.0|19.0|2.0|4030.0|34.0|0.0|12.0|2.0|1.0|False|AK
63.0|1.0|21.0|1.0|5120.0|41.0|0.0|30.0|2.0|1.0|True|AK
65.0|1.0|21.0|1.0|4700.0|41.0|1.0|50.0|1.0|1.0|True|AK
36.0|1.0|16.0|1.0|4610.0|53.0|0.0|35.0|2.0|1.0|False|AK
47.0|6.0|16.0|1.0|6200.0|30.0|1.0|40.0|1.0|1.0|False|AK
19.0|1.0|16.0|5.0|7800.0|8.0|2.0|30.0|2.0|1.0|False|AK
39.0|1.0|19.0|1.0|5700.0|2.0|0.0|40.0|2.0|4.0|False|AK
34.0|1.0|19.0|1.0|6355.0|2.0|1.0|50.0|1.0|4.0|True|AK
18.0|3.0|16.0|5.0|4220.0|2.0|10.0|4.0|2.0|4.0|False|AK
29.0|1.0|16.0|1.0|6260.0|8.0|0.0|40.0|1.0|1.0|False|AK
27.0|1.0|22.0|1.0|2200.0|4.0|1.0|35.0|2.0|1.0|False|AK
26.0|4.0|22.0|5.0|2310.0|2.0|0.0|50.0|1.0|1.0|False|AK
56.0|2.0|16.0|3.0|7700.0|2.0|0.0|42.0|1.0|1.0|True|AK
31.0|3.0|16.0|5.0|8620.0|2.0|0.0|20.0|1.0|4.0|False|AK
35.0|1.0|19.0|3.0|6320.0|6.0|0.0|45.0|1.0|1.0|True|AK
39.0|3.0|16.0|3.0|6730.0|2.0|0.0|40.0|1.0|5.0|False|AK
28.0|1.0|16.0|5.0|9300.0|2.0|15.0|40.0|1.0|5.0|False|AK
67.0|1.0|19.0|1.0|5120.0|6.0|1.0|40.0|2.0|8.0|True|AK
70.0|3.0|22.0|2.0|2330.0|15.0|0.0|60.0|2.0|1.0|True|AK
36.0|3.0|22.0|1.0|2310.0|26.0|0.0|35.0|1.0|1.0|True|AK
27.0|1.0|16.0|5.0|6330.0|2.0|0.0|40.0|1.0|1.0|True|AK
27.0|1.0|16.0|5.0|6355.0|2.0|12.0|30.0|1.0|1.0|False|AK
55.0|4.0|16.0|3.0|150.0|53.0|0.0|37.0|2.0|1.0|True|AK
36.0|1.0|19.0|3.0|430.0|6.0|0.0|40.0|2.0|1.0|True|AK
34.0|3.0|18.0|3.0|5120.0|2.0|0.0|20.0|2.0|1.0|False|AK
48.0|4.0|23.0|1.0|2310.0|42.0|0.0|40.0|2.0|1.0|False|AK
44.0|6.0|21.0|1.0|1410.0|46.0|1.0|40.0|1.0|1.0|True|AK
54.0|2.0|18.0|1.0|5120.0|13.0|0.0|40.0|2.0|1.0|False|AK
57.0|2.0|21.0|1.0|3050.0|48.0|1.0|48.0|1.0|1.0|True|AK
42.0|1.0|19.0|5.0|3420.0|2.0|0.0|40.0|2.0|1.0|False|AK
59.0|7.0|22.0|1.0|940.0|35.0|1.0|40.0|1.0|1.0|True|AK
43.0|5.0|18.0|1.0|5260.0|512.0|1.0|40.0|1.0|7.0|True|AK
35.0|1.0|16.0|1.0|5410.0|508.0|10.0|24.0|1.0|7.0|False|AK
33.0|1.0|19.0|1.0|4720.0|508.0|10.0|20.0|2.0|7.0|False|AK
45.0|4.0|23.0|1.0|740.0|39.0|0.0|40.0|1.0|1.0|True|AK
44.0|4.0|21.0|1.0|5120.0|233.0|1.0|40.0|2.0|6.0|False|AK
35.0|1.0|16.0|5.0|4700.0|2.0|0.0|40.0|1.0|4.0|True|AK
33.0|1.0|16.0|5.0|5240.0|2.0|13.0|40.0|2.0|4.0|True|AK
38.0|3.0|16.0|5.0|5700.0|2.0|0.0|10.0|2.0|4.0|False|AK
30.0|1.0|16.0|5.0|6260.0|53.0|13.0|40.0|1.0|4.0|False|AK
19.0|1.0|16.0|5.0|4220.0|49.0|2.0|40.0|1.0|1.0|False|AK
56.0|1.0|16.0|1.0|10.0|12.0|0.0|52.0|1.0|1.0|True|AK
59.0|4.0|21.0|1.0|800.0|39.0|1.0|40.0|2.0|1.0|True|AK
23.0|1.0|10.0|4.0|6320.0|2.0|0.0|55.0|1.0|1.0|True|AK
24.0|1.0|19.0|5.0|7630.0|2.0|0.0|40.0|1.0|1.0|False|AK
55.0|1.0|16.0|1.0|5000.0|1.0|0.0|52.0|1.0|1.0|True|AK
60.0|3.0|18.0|1.0|2310.0|1.0|1.0|14.0|2.0|1.0|False|AK
63.0|4.0|17.0|1.0|4220.0|1.0|1.0|40.0|1.0|1.0|True|AK
54.0|4.0|21.0|5.0|1107.0|55.0|0.0|42.0|2.0|1.0|True|AK
54.0|5.0|19.0|3.0|3750.0|53.0|0.0|45.0|2.0|1.0|False|AK
74.0|1.0|19.0|5.0|4700.0|53.0|0.0|50.0|1.0|1.0|True|AK
47.0|2.0|19.0|1.0|2300.0|301.0|0.0|40.0|2.0|1.0|False|AK
48.0|1.0|19.0|1.0|110.0|2.0|1.0|40.0|1.0|1.0|False|AK
47.0|1.0|19.0|1.0|9620.0|47.0|0.0|60.0|1.0|1.0|True|AK
40.0|2.0|21.0|1.0|430.0|53.0|1.0|40.0|2.0|1.0|True|AK
27.0|1.0|19.0|1.0|5940.0|2.0|0.0|36.0|2.0|1.0|False|AK
27.0|1.0|16.0|1.0|8310.0|2.0|1.0|40.0|1.0|1.0|False|AK
58.0|1.0|19.0|3.0|110.0|42.0|0.0|40.0|1.0|1.0|True|AK
43.0|1.0|16.0|1.0|7700.0|41.0|1.0|80.0|1.0|1.0|True|AK
22.0|2.0|21.0|5.0|2010.0|2.0|0.0|22.0|2.0|1.0|False|AK
23.0|4.0|21.0|5.0|2200.0|53.0|13.0|15.0|1.0|1.0|False|AK
71.0|1.0|21.0|2.0|3310.0|55.0|0.0|24.0|2.0|1.0|True|AK
19.0|1.0|19.0|5.0|4760.0|4.0|7.0|24.0|1.0|1.0|False|AK
59.0|6.0|21.0|1.0|4920.0|2.0|0.0|40.0|1.0|1.0|True|AK
47.0|1.0|19.0|1.0|5520.0|41.0|1.0|40.0|2.0|1.0|True|AK
28.0|4.0|19.0|5.0|2540.0|2.0|10.0|29.0|2.0|4.0|False|AK
53.0|1.0|19.0|1.0|6100.0|2.0|0.0|84.0|1.0|4.0|False|AK
51.0|1.0|16.0|1.0|4030.0|2.0|1.0|35.0|2.0|4.0|False|AK
40.0|3.0|21.0|3.0|1740.0|233.0|0.0|37.0|1.0|6.0|True|AK
69.0|1.0|16.0|1.0|7700.0|247.0|6.0|40.0|1.0|6.0|True|AK
32.0|1.0|15.0|5.0|4110.0|2.0|13.0|45.0|2.0|4.0|False|AK
24.0|1.0|19.0|5.0|3600.0|2.0|0.0|35.0|2.0|1.0|False|AK
48.0|6.0|18.0|1.0|220.0|2.0|0.0|40.0|1.0|1.0|True|AK
58.0|6.0|17.0|1.0|220.0|2.0|5.0|40.0|1.0|1.0|True|AK
64.0|2.0|21.0|4.0|420.0|8.0|0.0|34.0|2.0|1.0|False|AK
48.0|2.0|17.0|4.0|4130.0|2.0|11.0|30.0|1.0|4.0|False|AK
24.0|1.0|21.0|5.0|1610.0|38.0|0.0|40.0|1.0|1.0|True|AK
42.0|6.0|17.0|1.0|6100.0|2.0|0.0|84.0|1.0|4.0|False|AK
38.0|2.0|20.0|1.0|3600.0|2.0|1.0|30.0|2.0|4.0|False|AK
18.0|2.0|14.0|5.0|4760.0|2.0|2.0|20.0|1.0|4.0|False|AK
52.0|5.0|17.0|5.0|5810.0|12.0|0.0|40.0|1.0|1.0|True|AK
40.0|3.0|19.0|1.0|740.0|2.0|0.0|40.0|2.0|4.0|False|AK
51.0|3.0|16.0|1.0|5000.0|2.0|1.0|40.0|1.0|4.0|False|AK
58.0|3.0|16.0|5.0|5940.0|2.0|0.0|25.0|2.0|4.0|False|AK
42.0|6.0|16.0|5.0|6100.0|2.0|0.0|99.0|1.0|4.0|False|AK
18.0|3.0|14.0|5.0|420.0|2.0|4.0|40.0|2.0|4.0|False|AK
40.0|4.0|19.0|5.0|2540.0|2.0|13.0|33.0|2.0|4.0|True|AK
75.0|6.0|16.0|1.0|430.0|56.0|0.0|40.0|1.0|9.0|True|AK
71.0|5.0|18.0|1.0|10.0|2.0|1.0|40.0|1.0|4.0|True|AK
31.0|1.0|16.0|5.0|4020.0|2.0|2.0|40.0|2.0|4.0|False|AK
32.0|2.0|16.0|5.0|9620.0|2.0|0.0|99.0|1.0|4.0|False|AK
26.0|2.0|16.0|5.0|6320.0|2.0|5.0|40.0|1.0|5.0|False|AK
59.0|3.0|21.0|3.0|2310.0|48.0|0.0|40.0|2.0|1.0|True|AK
26.0|1.0|19.0|1.0|6355.0|30.0|0.0|40.0|1.0|9.0|True|AK
23.0|1.0|19.0|1.0|3645.0|2.0|1.0|24.0|2.0|1.0|False|AK
69.0|3.0|23.0|1.0|2310.0|6.0|0.0|40.0|2.0|1.0|True|AK
42.0|1.0|16.0|1.0|6130.0|53.0|0.0|42.0|1.0|1.0|False|AK
29.0|2.0|16.0|1.0|740.0|41.0|0.0|40.0|2.0|1.0|True|AK
30.0|2.0|22.0|1.0|3258.0|42.0|1.0|40.0|1.0|1.0|True|AK
35.0|1.0|18.0|1.0|6355.0|23.0|0.0|42.0|1.0|1.0|True|AK
49.0|3.0|16.0|2.0|4220.0|2.0|0.0|20.0|2.0|4.0|False|AK
24.0|1.0|16.0|5.0|4610.0|2.0|2.0|20.0|2.0|4.0|False|AK
21.0|3.0|16.0|5.0|9620.0|2.0|2.0|40.0|1.0|4.0|False|AK
22.0|2.0|16.0|5.0|4230.0|2.0|15.0|40.0|2.0|4.0|False|AK
37.0|3.0|16.0|1.0|5400.0|2.0|0.0|40.0|2.0|4.0|False|AK
37.0|1.0|21.0|4.0|3420.0|27.0|0.0|45.0|2.0|9.0|True|AK
58.0|2.0|16.0|2.0|4010.0|6.0|13.0|40.0|2.0|1.0|False|AK
58.0|6.0|10.0|3.0|6100.0|41.0|0.0|99.0|1.0|1.0|False|AK
57.0|4.0|22.0|1.0|2100.0|27.0|1.0|35.0|2.0|1.0|True|AK
64.0|4.0|19.0|3.0|2540.0|46.0|0.0|32.0|2.0|4.0|False|AK
26.0|3.0|16.0|5.0|2540.0|2.0|2.0|7.0|2.0|4.0|False|AK
65.0|6.0|16.0|5.0|6005.0|48.0|0.0|60.0|1.0|1.0|True|AK
24.0|1.0|16.0|5.0|4010.0|2.0|2.0|40.0|1.0|4.0|False|AK
18.0|1.0|16.0|5.0|9620.0|2.0|3.0|32.0|1.0|4.0|False|AK
54.0|2.0|19.0|1.0|5310.0|42.0|0.0|30.0|2.0|1.0|True|AK
52.0|7.0|21.0|1.0|7150.0|2.0|1.0|60.0|1.0|1.0|True|AK
39.0|1.0|21.0|1.0|3255.0|2.0|0.0|36.0|2.0|1.0|True|AK
38.0|1.0|16.0|1.0|4965.0|30.0|1.0|40.0|1.0|1.0|True|AK
37.0|1.0|19.0|5.0|5120.0|30.0|0.0|40.0|2.0|1.0|True|AK
39.0|1.0|19.0|3.0|7315.0|2.0|13.0|40.0|1.0|9.0|True|AK
20.0|2.0|18.0|5.0|3640.0|2.0|2.0|40.0|2.0|4.0|False|AK
42.0|1.0|16.0|5.0|9130.0|2.0|13.0|30.0|1.0|4.0|False|AK
34.0|7.0|14.0|3.0|6100.0|53.0|0.0|99.0|1.0|4.0|False|AK
22.0|1.0|16.0|5.0|4720.0|2.0|11.0|40.0|1.0|4.0|False|AK
38.0|6.0|18.0|1.0|2630.0|217.0|0.0|30.0|2.0|9.0|False|AK
42.0|1.0|18.0|1.0|9620.0|2.0|1.0|42.0|1.0|1.0|False|AK
59.0|1.0|16.0|4.0|3730.0|78.0|0.0|40.0|1.0|2.0|False|AK
21.0|1.0|19.0|5.0|6100.0|2.0|2.0|30.0|1.0|2.0|False|AK
39.0|3.0|19.0|1.0|410.0|20.0|0.0|38.0|1.0|9.0|True|AK
46.0|1.0|17.0|5.0|4740.0|2.0|0.0|52.0|1.0|1.0|True|AK
52.0|5.0|17.0|4.0|4720.0|26.0|13.0|32.0|2.0|1.0|False|AK
59.0|3.0|19.0|1.0|2330.0|2.0|1.0|35.0|2.0|1.0|False|AK
68.0|6.0|19.0|4.0|2600.0|6.0|0.0|40.0|2.0|1.0|True|AK
50.0|4.0|16.0|1.0|4220.0|2.0|0.0|35.0|1.0|4.0|True|AK
63.0|5.0|19.0|1.0|2310.0|2.0|1.0|24.0|2.0|4.0|False|AK
21.0|1.0|19.0|5.0|3600.0|2.0|4.0|35.0|2.0|4.0|False|AK
55.0|3.0|24.0|1.0|230.0|4.0|0.0|40.0|1.0|1.0|True|AK
37.0|1.0|16.0|1.0|5860.0|9.0|0.0|40.0|2.0|1.0|True|AK
45.0|1.0|11.0|1.0|2440.0|2.0|1.0|9.0|1.0|1.0|False|AK
53.0|1.0|18.0|1.0|4720.0|55.0|0.0|50.0|2.0|1.0|False|AK
52.0|3.0|21.0|1.0|2310.0|2.0|1.0|40.0|1.0|1.0|True|AK
27.0|4.0|22.0|5.0|2320.0|42.0|0.0|50.0|2.0|1.0|True|AK
45.0|1.0|16.0|3.0|160.0|6.0|0.0|40.0|1.0|1.0|True|AK
55.0|3.0|16.0|3.0|5810.0|53.0|0.0|40.0|2.0|1.0|True|AK
34.0|1.0|17.0|1.0|4760.0|2.0|2.0|25.0|2.0|9.0|False|AK
35.0|1.0|17.0|1.0|9620.0|51.0|9.0|70.0|1.0|2.0|True|AK
21.0|1.0|19.0|5.0|4030.0|2.0|4.0|24.0|2.0|1.0|False|AK
49.0|2.0|22.0|3.0|350.0|39.0|15.0|40.0|1.0|1.0|True|AK
57.0|1.0|16.0|1.0|5000.0|53.0|0.0|52.0|1.0|1.0|True|AK
55.0|1.0|19.0|1.0|5000.0|29.0|1.0|50.0|2.0|1.0|True|AK
29.0|5.0|20.0|1.0|120.0|12.0|0.0|40.0|1.0|1.0|False|AK
63.0|4.0|18.0|1.0|9120.0|6.0|0.0|30.0|1.0|1.0|False|AK
58.0|1.0|19.0|1.0|3255.0|27.0|1.0|45.0|2.0|1.0|True|AK
59.0|1.0|19.0|1.0|5860.0|27.0|1.0|16.0|2.0|1.0|False|AK
73.0|6.0|23.0|1.0|2910.0|36.0|0.0|35.0|1.0|1.0|True|AK
61.0|6.0|21.0|1.0|2016.0|10.0|1.0|10.0|2.0|1.0|False|AK
46.0|1.0|19.0|1.0|3400.0|2.0|0.0|40.0|1.0|4.0|True|AK
42.0|3.0|16.0|1.0|2440.0|48.0|1.0|15.0|2.0|9.0|False|AK
18.0|1.0|15.0|5.0|4030.0|2.0|2.0|40.0|2.0|4.0|False|AK
18.0|1.0|16.0|5.0|4720.0|16.0|12.0|36.0|1.0|1.0|False|AK
47.0|1.0|1.0|4.0|9120.0|329.0|0.0|40.0|1.0|2.0|False|AK
22.0|5.0|19.0|5.0|3945.0|72.0|2.0|25.0|2.0|1.0|False|AK
55.0|3.0|19.0|1.0|2850.0|20.0|0.0|50.0|1.0|1.0|True|AK
54.0|3.0|21.0|1.0|2300.0|53.0|1.0|45.0|2.0|1.0|True|AK
67.0|1.0|1.0|3.0|9620.0|2.0|0.0|40.0|1.0|4.0|False|AK
58.0|3.0|18.0|1.0|6200.0|2.0|0.0|40.0|1.0|4.0|False|AK
51.0|3.0|16.0|1.0|5700.0|2.0|1.0|30.0|2.0|4.0|False|AK
29.0|1.0|16.0|1.0|1300.0|2.0|0.0|50.0|1.0|1.0|True|AK
42.0|3.0|16.0|3.0|4400.0|2.0|2.0|6.0|1.0|4.0|False|AK
32.0|4.0|17.0|1.0|2430.0|2.0|2.0|35.0|1.0|9.0|False|AK
39.0|1.0|16.0|1.0|1550.0|2.0|9.0|40.0|1.0|4.0|False|AK
59.0|5.0|21.0|5.0|430.0|41.0|0.0|40.0|1.0|1.0|True|AK
71.0|3.0|19.0|1.0|10.0|2.0|0.0|20.0|2.0|4.0|False|AK
76.0|7.0|19.0|1.0|205.0|2.0|1.0|40.0|1.0|4.0|False|AK
54.0|1.0|18.0|1.0|50.0|6.0|0.0|40.0|1.0|1.0|True|AK
38.0|4.0|17.0|1.0|5150.0|6.0|0.0|55.0|1.0|1.0|False|AK
