AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
37.0|1.0|19.0|1.0|3600.0|13.0|0.0|60.0|2.0|1.0|True|GA
47.0|3.0|16.0|1.0|6320.0|13.0|1.0|44.0|1.0|1.0|False|GA
41.0|2.0|22.0|1.0|2200.0|13.0|0.0|40.0|2.0|2.0|False|GA
56.0|2.0|19.0|1.0|6200.0|416.0|1.0|72.0|1.0|2.0|True|GA
73.0|6.0|18.0|1.0|7340.0|13.0|1.0|15.0|1.0|1.0|False|GA
28.0|1.0|21.0|5.0|4920.0|12.0|0.0|40.0|1.0|2.0|False|GA
31.0|1.0|21.0|5.0|5700.0|12.0|13.0|40.0|2.0|2.0|False|GA
49.0|1.0|21.0|1.0|10.0|110.0|0.0|60.0|1.0|1.0|True|GA
47.0|6.0|21.0|1.0|40.0|110.0|1.0|50.0|2.0|1.0|False|GA
59.0|1.0|16.0|1.0|9240.0|13.0|0.0|50.0|1.0|1.0|True|GA
55.0|1.0|15.0|1.0|310.0|13.0|1.0|45.0|2.0|1.0|True|GA
27.0|1.0|15.0|4.0|7430.0|13.0|2.0|40.0|1.0|1.0|False|GA
25.0|1.0|21.0|5.0|1550.0|13.0|2.0|40.0|1.0|1.0|False|GA
56.0|6.0|21.0|2.0|520.0|18.0|0.0|50.0|1.0|1.0|False|GA
23.0|1.0|19.0|5.0|4040.0|13.0|2.0|30.0|1.0|1.0|False|GA
19.0|2.0|19.0|5.0|4600.0|13.0|2.0|5.0|1.0|1.0|False|GA
58.0|6.0|23.0|1.0|2700.0|51.0|0.0|10.0|2.0|6.0|False|GA
36.0|1.0|21.0|5.0|2630.0|6.0|0.0|30.0|2.0|9.0|False|GA
40.0|1.0|22.0|5.0|7810.0|72.0|0.0|40.0|1.0|9.0|False|GA
43.0|1.0|21.0|3.0|7855.0|72.0|5.0|12.0|2.0|9.0|False|GA
76.0|6.0|16.0|1.0|205.0|13.0|0.0|60.0|1.0|1.0|False|GA
67.0|4.0|16.0|1.0|410.0|13.0|1.0|40.0|2.0|1.0|True|GA
46.0|7.0|16.0|3.0|4520.0|247.0|0.0|60.0|2.0|6.0|False|GA
40.0|2.0|21.0|1.0|1550.0|165.0|0.0|40.0|1.0|1.0|False|GA
64.0|2.0|14.0|1.0|4220.0|13.0|1.0|40.0|2.0|2.0|False|GA
37.0|1.0|18.0|1.0|5620.0|13.0|2.0|40.0|2.0|2.0|False|GA
34.0|1.0|16.0|1.0|5240.0|12.0|9.0|30.0|1.0|2.0|False|GA
47.0|1.0|22.0|1.0|2850.0|48.0|0.0|35.0|2.0|1.0|False|GA
49.0|1.0|19.0|1.0|430.0|30.0|1.0|40.0|1.0|1.0|True|GA
42.0|6.0|24.0|1.0|2000.0|13.0|0.0|40.0|2.0|1.0|False|GA
45.0|1.0|20.0|1.0|2630.0|301.0|1.0|45.0|1.0|1.0|True|GA
21.0|4.0|16.0|5.0|3850.0|13.0|7.0|40.0|2.0|1.0|False|GA
73.0|7.0|21.0|1.0|6260.0|41.0|0.0|40.0|1.0|1.0|False|GA
68.0|7.0|19.0|1.0|5120.0|45.0|1.0|6.0|2.0|1.0|False|GA
51.0|3.0|19.0|1.0|9120.0|13.0|0.0|25.0|2.0|1.0|False|GA
48.0|1.0|16.0|1.0|310.0|26.0|1.0|45.0|1.0|1.0|False|GA
26.0|3.0|22.0|5.0|2300.0|13.0|2.0|30.0|2.0|1.0|False|GA
49.0|1.0|21.0|1.0|1350.0|39.0|0.0|42.0|1.0|1.0|True|GA
43.0|1.0|22.0|1.0|2340.0|362.0|1.0|7.0|2.0|1.0|False|GA
44.0|1.0|20.0|1.0|1010.0|1.0|0.0|40.0|1.0|1.0|True|GA
40.0|1.0|18.0|1.0|5700.0|13.0|1.0|40.0|2.0|1.0|False|GA
62.0|1.0|21.0|1.0|8220.0|164.0|0.0|40.0|1.0|1.0|True|GA
49.0|6.0|22.0|1.0|2340.0|164.0|1.0|15.0|2.0|1.0|False|GA
64.0|6.0|17.0|3.0|4510.0|13.0|0.0|32.0|2.0|1.0|False|GA
68.0|7.0|21.0|1.0|800.0|47.0|1.0|30.0|1.0|1.0|True|GA
50.0|6.0|19.0|1.0|4500.0|13.0|0.0|60.0|1.0|2.0|False|GA
43.0|4.0|23.0|1.0|10.0|13.0|0.0|65.0|1.0|1.0|True|GA
38.0|1.0|24.0|1.0|3050.0|13.0|1.0|35.0|2.0|1.0|True|GA
50.0|1.0|16.0|3.0|2540.0|47.0|0.0|7.0|2.0|1.0|False|GA
47.0|1.0|16.0|3.0|5140.0|1.0|0.0|40.0|2.0|2.0|True|GA
36.0|1.0|19.0|3.0|4110.0|13.0|0.0|35.0|2.0|1.0|False|GA
41.0|7.0|16.0|5.0|4250.0|13.0|11.0|40.0|1.0|1.0|False|GA
28.0|1.0|22.0|5.0|4020.0|13.0|2.0|40.0|2.0|1.0|False|GA
42.0|1.0|15.0|1.0|7750.0|205.0|0.0|40.0|1.0|6.0|False|GA
28.0|1.0|15.0|1.0|7750.0|205.0|1.0|40.0|2.0|6.0|False|GA
30.0|1.0|15.0|5.0|8320.0|205.0|10.0|40.0|1.0|6.0|False|GA
30.0|1.0|15.0|5.0|8320.0|205.0|10.0|40.0|1.0|6.0|False|GA
29.0|1.0|15.0|1.0|8710.0|205.0|10.0|50.0|1.0|6.0|False|GA
59.0|1.0|21.0|1.0|1050.0|1.0|0.0|45.0|1.0|1.0|True|GA
54.0|1.0|22.0|1.0|800.0|449.0|1.0|45.0|2.0|1.0|True|GA
24.0|1.0|20.0|5.0|3600.0|13.0|2.0|40.0|1.0|2.0|False|GA
72.0|1.0|19.0|1.0|1410.0|49.0|0.0|40.0|1.0|1.0|True|GA
40.0|1.0|16.0|3.0|9560.0|17.0|0.0|50.0|1.0|2.0|False|GA
27.0|1.0|16.0|5.0|5240.0|138.0|0.0|25.0|1.0|2.0|False|GA
47.0|1.0|21.0|1.0|4710.0|37.0|0.0|60.0|2.0|1.0|True|GA
51.0|6.0|17.0|1.0|4840.0|13.0|1.0|50.0|1.0|1.0|False|GA
65.0|1.0|21.0|1.0|4760.0|13.0|1.0|50.0|1.0|1.0|True|GA
37.0|2.0|21.0|5.0|4965.0|13.0|2.0|40.0|1.0|1.0|False|GA
47.0|1.0|16.0|5.0|4050.0|13.0|0.0|37.0|2.0|1.0|False|GA
62.0|6.0|18.0|5.0|6260.0|13.0|0.0|20.0|1.0|2.0|False|GA
85.0|2.0|16.0|2.0|726.0|13.0|0.0|36.0|2.0|1.0|True|GA
57.0|1.0|16.0|2.0|6230.0|13.0|2.0|30.0|1.0|1.0|False|GA
28.0|1.0|19.0|1.0|5700.0|13.0|0.0|45.0|2.0|1.0|False|GA
28.0|3.0|20.0|1.0|3740.0|13.0|1.0|72.0|1.0|1.0|False|GA
30.0|1.0|20.0|5.0|3300.0|13.0|0.0|40.0|2.0|1.0|False|GA
28.0|1.0|21.0|5.0|430.0|13.0|13.0|40.0|2.0|1.0|False|GA
44.0|1.0|23.0|1.0|4810.0|13.0|0.0|38.0|1.0|1.0|True|GA
54.0|1.0|16.0|5.0|230.0|17.0|0.0|40.0|1.0|1.0|True|GA
36.0|2.0|19.0|5.0|4850.0|13.0|0.0|34.0|2.0|2.0|False|GA
55.0|1.0|19.0|5.0|5240.0|13.0|0.0|40.0|2.0|2.0|False|GA
64.0|1.0|18.0|3.0|4760.0|13.0|0.0|30.0|2.0|1.0|True|GA
60.0|7.0|19.0|1.0|4220.0|13.0|0.0|60.0|2.0|2.0|False|GA
53.0|7.0|16.0|1.0|4250.0|13.0|1.0|55.0|1.0|2.0|False|GA
27.0|1.0|16.0|5.0|4030.0|13.0|2.0|40.0|2.0|2.0|False|GA
58.0|1.0|16.0|3.0|6200.0|17.0|0.0|50.0|1.0|1.0|True|GA
21.0|1.0|19.0|5.0|9130.0|13.0|2.0|50.0|1.0|1.0|False|GA
50.0|1.0|18.0|3.0|4620.0|157.0|13.0|22.0|2.0|1.0|False|GA
72.0|2.0|22.0|1.0|4300.0|13.0|0.0|5.0|1.0|1.0|True|GA
58.0|1.0|20.0|1.0|136.0|46.0|0.0|40.0|1.0|3.0|True|GA
43.0|1.0|20.0|5.0|4760.0|36.0|4.0|30.0|2.0|9.0|False|GA
21.0|1.0|17.0|5.0|4110.0|36.0|7.0|15.0|2.0|9.0|False|GA
54.0|6.0|20.0|5.0|4840.0|13.0|0.0|35.0|1.0|1.0|False|GA
70.0|7.0|24.0|1.0|430.0|34.0|0.0|60.0|1.0|1.0|True|GA
50.0|1.0|21.0|1.0|5000.0|13.0|1.0|40.0|2.0|1.0|False|GA
20.0|6.0|12.0|5.0|7240.0|13.0|2.0|25.0|1.0|1.0|False|GA
44.0|1.0|16.0|1.0|9600.0|13.0|0.0|40.0|1.0|2.0|False|GA
48.0|1.0|16.0|1.0|8420.0|13.0|1.0|40.0|2.0|2.0|False|GA
23.0|1.0|16.0|5.0|4110.0|13.0|2.0|30.0|2.0|2.0|False|GA
28.0|1.0|19.0|1.0|3645.0|12.0|0.0|40.0|1.0|1.0|False|GA
23.0|6.0|18.0|1.0|4600.0|362.0|1.0|50.0|2.0|1.0|False|GA
35.0|1.0|16.0|1.0|8720.0|333.0|0.0|40.0|2.0|2.0|False|GA
35.0|5.0|20.0|1.0|3945.0|333.0|1.0|40.0|1.0|2.0|False|GA
30.0|5.0|21.0|1.0|8610.0|42.0|0.0|99.0|1.0|1.0|True|GA
47.0|1.0|21.0|1.0|50.0|116.0|0.0|45.0|2.0|1.0|True|GA
49.0|1.0|22.0|1.0|2310.0|116.0|1.0|30.0|1.0|1.0|False|GA
53.0|5.0|21.0|3.0|110.0|12.0|0.0|40.0|2.0|1.0|True|GA
54.0|6.0|19.0|3.0|430.0|462.0|0.0|1.0|1.0|2.0|False|GA
39.0|1.0|22.0|5.0|710.0|1.0|0.0|45.0|2.0|2.0|True|GA
43.0|1.0|16.0|5.0|4110.0|12.0|0.0|40.0|2.0|1.0|False|GA
51.0|1.0|21.0|1.0|5010.0|440.0|0.0|30.0|2.0|2.0|False|GA
37.0|1.0|21.0|1.0|430.0|29.0|0.0|60.0|1.0|1.0|True|GA
51.0|1.0|16.0|5.0|3600.0|13.0|0.0|40.0|2.0|2.0|False|GA
30.0|2.0|22.0|1.0|3258.0|13.0|0.0|40.0|2.0|1.0|True|GA
32.0|1.0|20.0|1.0|7330.0|13.0|1.0|50.0|1.0|1.0|True|GA
48.0|1.0|17.0|3.0|4030.0|13.0|0.0|39.0|1.0|1.0|False|GA
35.0|4.0|20.0|5.0|430.0|13.0|0.0|44.0|2.0|2.0|False|GA
38.0|1.0|16.0|1.0|7340.0|13.0|5.0|40.0|1.0|2.0|False|GA
32.0|1.0|18.0|5.0|940.0|13.0|5.0|37.0|2.0|2.0|False|GA
55.0|1.0|17.0|4.0|2300.0|13.0|6.0|40.0|2.0|2.0|False|GA
34.0|8.0|18.0|5.0|940.0|55.0|13.0|40.0|1.0|2.0|False|GA
31.0|1.0|21.0|1.0|840.0|29.0|0.0|20.0|2.0|1.0|False|GA
33.0|2.0|22.0|1.0|2040.0|5.0|1.0|44.0|1.0|1.0|False|GA
69.0|1.0|18.0|1.0|530.0|6.0|0.0|40.0|1.0|1.0|True|GA
60.0|1.0|22.0|1.0|10.0|21.0|1.0|45.0|2.0|1.0|True|GA
43.0|1.0|17.0|5.0|3510.0|22.0|0.0|45.0|2.0|1.0|False|GA
63.0|1.0|21.0|5.0|5860.0|13.0|0.0|40.0|2.0|1.0|False|GA
57.0|1.0|21.0|5.0|9130.0|13.0|5.0|32.0|1.0|1.0|False|GA
44.0|1.0|19.0|5.0|3600.0|13.0|2.0|40.0|2.0|2.0|False|GA
42.0|1.0|16.0|5.0|9130.0|13.0|2.0|48.0|1.0|2.0|False|GA
21.0|5.0|19.0|5.0|3930.0|13.0|0.0|40.0|1.0|1.0|False|GA
45.0|2.0|18.0|1.0|5240.0|13.0|0.0|40.0|2.0|1.0|True|GA
43.0|1.0|17.0|1.0|4220.0|13.0|1.0|40.0|1.0|1.0|True|GA
53.0|2.0|20.0|1.0|7700.0|42.0|0.0|50.0|1.0|1.0|True|GA
51.0|3.0|23.0|1.0|2310.0|13.0|1.0|40.0|2.0|1.0|True|GA
28.0|1.0|21.0|5.0|4850.0|6.0|0.0|40.0|1.0|1.0|False|GA
56.0|1.0|20.0|3.0|1006.0|72.0|0.0|40.0|2.0|8.0|True|GA
46.0|1.0|23.0|1.0|100.0|36.0|0.0|65.0|1.0|2.0|True|GA
