AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
47.0|1.0|20.0|1.0|3620.0|1.0|0.0|36.0|2.0|1.0|True|MS
49.0|1.0|21.0|1.0|9030.0|48.0|1.0|65.0|1.0|1.0|False|MS
67.0|4.0|24.0|1.0|2200.0|210.0|0.0|40.0|1.0|6.0|True|MS
46.0|1.0|20.0|3.0|4760.0|28.0|0.0|50.0|1.0|2.0|True|MS
50.0|1.0|21.0|3.0|630.0|28.0|0.0|40.0|2.0|1.0|True|MS
19.0|1.0|19.0|5.0|9130.0|28.0|2.0|21.0|2.0|1.0|False|MS
50.0|1.0|17.0|3.0|5240.0|5.0|0.0|46.0|1.0|1.0|False|MS
59.0|1.0|17.0|1.0|9640.0|28.0|0.0|40.0|1.0|1.0|False|MS
24.0|1.0|19.0|5.0|4760.0|6.0|7.0|40.0|1.0|2.0|False|MS
43.0|5.0|16.0|3.0|4250.0|28.0|0.0|30.0|2.0|3.0|False|MS
27.0|6.0|18.0|5.0|9610.0|28.0|2.0|20.0|1.0|3.0|False|MS
32.0|1.0|16.0|5.0|4020.0|28.0|15.0|40.0|1.0|2.0|False|MS
47.0|1.0|16.0|1.0|1530.0|28.0|0.0|40.0|1.0|1.0|True|MS
60.0|4.0|21.0|1.0|425.0|17.0|0.0|40.0|1.0|1.0|False|MS
57.0|1.0|17.0|1.0|5700.0|28.0|1.0|20.0|2.0|1.0|False|MS
52.0|1.0|21.0|1.0|5700.0|28.0|0.0|37.0|2.0|1.0|False|MS
56.0|1.0|16.0|1.0|7700.0|28.0|1.0|60.0|1.0|1.0|True|MS
21.0|7.0|17.0|5.0|4250.0|28.0|2.0|40.0|2.0|1.0|False|MS
18.0|1.0|14.0|5.0|4720.0|28.0|2.0|20.0|1.0|1.0|False|MS
41.0|1.0|19.0|1.0|8940.0|28.0|0.0|42.0|1.0|1.0|True|MS
41.0|2.0|20.0|1.0|3300.0|28.0|1.0|40.0|2.0|1.0|False|MS
41.0|1.0|19.0|5.0|4030.0|28.0|0.0|40.0|2.0|1.0|False|MS
35.0|1.0|17.0|1.0|7750.0|28.0|0.0|40.0|1.0|2.0|False|MS
28.0|1.0|16.0|1.0|4020.0|28.0|1.0|30.0|2.0|2.0|False|MS
59.0|1.0|18.0|1.0|4700.0|28.0|0.0|70.0|1.0|1.0|True|MS
30.0|1.0|21.0|1.0|5350.0|6.0|0.0|40.0|2.0|1.0|False|MS
32.0|1.0|16.0|1.0|160.0|28.0|1.0|40.0|1.0|1.0|False|MS
45.0|1.0|21.0|3.0|5240.0|327.0|0.0|40.0|2.0|1.0|False|MS
51.0|6.0|16.0|1.0|430.0|28.0|0.0|75.0|1.0|1.0|True|MS
47.0|1.0|21.0|1.0|4700.0|47.0|1.0|35.0|2.0|1.0|True|MS
31.0|1.0|12.0|5.0|9600.0|28.0|2.0|25.0|1.0|2.0|False|MS
53.0|1.0|19.0|1.0|5160.0|6.0|0.0|40.0|2.0|1.0|False|MS
59.0|1.0|20.0|1.0|6050.0|28.0|1.0|60.0|1.0|1.0|False|MS
26.0|5.0|20.0|1.0|5820.0|28.0|0.0|30.0|2.0|2.0|False|MS
26.0|1.0|16.0|1.0|6260.0|28.0|1.0|35.0|1.0|2.0|False|MS
29.0|1.0|20.0|1.0|5400.0|28.0|0.0|60.0|2.0|2.0|False|MS
30.0|1.0|7.0|1.0|6320.0|28.0|1.0|40.0|1.0|2.0|False|MS
31.0|5.0|21.0|1.0|9830.0|28.0|5.0|40.0|1.0|2.0|False|MS
60.0|2.0|19.0|3.0|860.0|28.0|0.0|50.0|2.0|2.0|False|MS
36.0|1.0|20.0|1.0|5700.0|28.0|0.0|35.0|2.0|2.0|False|MS
39.0|6.0|20.0|1.0|4810.0|28.0|1.0|30.0|1.0|2.0|False|MS
32.0|1.0|23.0|1.0|430.0|28.0|0.0|60.0|1.0|1.0|True|MS
62.0|1.0|16.0|1.0|4120.0|28.0|0.0|40.0|2.0|2.0|False|MS
50.0|1.0|21.0|1.0|910.0|28.0|0.0|40.0|1.0|1.0|True|MS
45.0|1.0|21.0|1.0|5860.0|28.0|1.0|32.0|2.0|1.0|False|MS
71.0|2.0|16.0|1.0|5700.0|28.0|0.0|16.0|2.0|1.0|False|MS
61.0|1.0|13.0|5.0|4020.0|5.0|6.0|6.0|2.0|2.0|False|MS
59.0|2.0|18.0|1.0|350.0|28.0|0.0|40.0|2.0|1.0|True|MS
55.0|1.0|21.0|1.0|1340.0|28.0|1.0|40.0|1.0|1.0|True|MS
20.0|1.0|16.0|5.0|4720.0|26.0|0.0|33.0|2.0|1.0|False|MS
19.0|1.0|16.0|5.0|6355.0|47.0|13.0|40.0|1.0|1.0|False|MS
24.0|1.0|20.0|1.0|8760.0|35.0|0.0|40.0|1.0|1.0|False|MS
22.0|1.0|19.0|1.0|4700.0|28.0|1.0|38.0|2.0|1.0|False|MS
42.0|1.0|21.0|1.0|8965.0|28.0|0.0|84.0|1.0|1.0|True|MS
