AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
38.0|1.0|16.0|1.0|8965.0|37.0|0.0|40.0|1.0|1.0|False|NC
34.0|1.0|16.0|1.0|740.0|37.0|1.0|40.0|2.0|1.0|False|NC
17.0|1.0|14.0|5.0|4030.0|37.0|2.0|20.0|2.0|1.0|False|NC
58.0|1.0|18.0|1.0|430.0|13.0|0.0|50.0|1.0|1.0|True|NC
31.0|1.0|23.0|5.0|2100.0|37.0|0.0|45.0|1.0|1.0|False|NC
31.0|1.0|21.0|5.0|4220.0|37.0|5.0|40.0|1.0|1.0|False|NC
42.0|2.0|21.0|1.0|5840.0|39.0|0.0|40.0|2.0|1.0|False|NC
59.0|1.0|16.0|1.0|4700.0|37.0|1.0|40.0|1.0|1.0|False|NC
50.0|1.0|21.0|1.0|800.0|20.0|0.0|45.0|1.0|1.0|True|NC
49.0|2.0|22.0|1.0|5420.0|37.0|1.0|37.0|2.0|1.0|False|NC
17.0|2.0|14.0|5.0|2720.0|13.0|2.0|15.0|2.0|1.0|False|NC
65.0|1.0|20.0|3.0|8750.0|37.0|0.0|24.0|1.0|1.0|False|NC
27.0|1.0|19.0|3.0|4110.0|37.0|2.0|30.0|2.0|1.0|False|NC
55.0|1.0|16.0|1.0|2540.0|34.0|0.0|9.0|2.0|1.0|False|NC
57.0|1.0|16.0|1.0|10.0|34.0|1.0|50.0|1.0|1.0|True|NC
57.0|2.0|23.0|1.0|2200.0|37.0|0.0|30.0|1.0|1.0|True|NC
42.0|1.0|16.0|1.0|4720.0|37.0|0.0|20.0|2.0|1.0|False|NC
49.0|1.0|16.0|1.0|6260.0|37.0|1.0|40.0|1.0|1.0|False|NC
17.0|1.0|14.0|5.0|4720.0|37.0|2.0|25.0|2.0|1.0|False|NC
50.0|1.0|20.0|1.0|3600.0|37.0|0.0|40.0|1.0|1.0|False|NC
52.0|1.0|16.0|1.0|3600.0|37.0|1.0|40.0|2.0|1.0|False|NC
27.0|3.0|21.0|1.0|3850.0|37.0|0.0|50.0|1.0|1.0|False|NC
29.0|1.0|19.0|1.0|2300.0|48.0|1.0|40.0|2.0|1.0|False|NC
51.0|1.0|21.0|5.0|3255.0|26.0|0.0|72.0|2.0|1.0|True|NC
49.0|1.0|17.0|3.0|7720.0|54.0|5.0|40.0|2.0|1.0|False|NC
22.0|1.0|16.0|5.0|4850.0|37.0|10.0|25.0|1.0|1.0|False|NC
18.0|1.0|14.0|5.0|9620.0|37.0|10.0|25.0|1.0|1.0|False|NC
17.0|1.0|14.0|5.0|9610.0|54.0|12.0|6.0|2.0|1.0|False|NC
53.0|1.0|18.0|1.0|3640.0|37.0|0.0|40.0|2.0|1.0|False|NC
54.0|1.0|16.0|1.0|4710.0|37.0|1.0|55.0|1.0|1.0|False|NC
19.0|1.0|19.0|5.0|4720.0|37.0|2.0|20.0|2.0|1.0|False|NC
33.0|5.0|21.0|5.0|2630.0|37.0|2.0|40.0|2.0|9.0|False|NC
23.0|1.0|16.0|5.0|310.0|12.0|0.0|45.0|2.0|1.0|False|NC
22.0|1.0|16.0|5.0|4110.0|4.0|13.0|4.0|1.0|1.0|False|NC
57.0|3.0|22.0|2.0|2310.0|54.0|0.0|35.0|2.0|1.0|True|NC
24.0|3.0|22.0|5.0|230.0|37.0|2.0|30.0|2.0|1.0|False|NC
22.0|3.0|21.0|5.0|20.0|37.0|2.0|5.0|1.0|1.0|False|NC
72.0|6.0|19.0|3.0|710.0|25.0|0.0|10.0|2.0|1.0|False|NC
53.0|7.0|23.0|1.0|2100.0|44.0|1.0|80.0|1.0|1.0|True|NC
22.0|1.0|19.0|5.0|4020.0|51.0|2.0|20.0|1.0|1.0|False|NC
17.0|6.0|14.0|5.0|4600.0|51.0|2.0|3.0|2.0|1.0|False|NC
48.0|6.0|21.0|3.0|4920.0|19.0|0.0|40.0|2.0|1.0|False|NC
58.0|6.0|16.0|1.0|205.0|37.0|1.0|65.0|1.0|1.0|True|NC
54.0|1.0|20.0|3.0|350.0|51.0|0.0|50.0|2.0|1.0|True|NC
43.0|1.0|21.0|1.0|430.0|210.0|0.0|40.0|1.0|6.0|False|NC
39.0|1.0|21.0|1.0|5240.0|36.0|0.0|55.0|1.0|1.0|True|NC
36.0|3.0|22.0|1.0|2310.0|116.0|1.0|45.0|2.0|1.0|False|NC
42.0|1.0|20.0|1.0|5820.0|51.0|0.0|40.0|2.0|2.0|False|NC
21.0|1.0|18.0|5.0|410.0|37.0|2.0|25.0|1.0|2.0|False|NC
65.0|7.0|15.0|5.0|5510.0|37.0|0.0|40.0|1.0|1.0|True|NC
55.0|6.0|16.0|3.0|4200.0|37.0|0.0|10.0|2.0|1.0|False|NC
17.0|1.0|14.0|5.0|4110.0|37.0|2.0|10.0|1.0|1.0|False|NC
33.0|1.0|20.0|1.0|7315.0|110.0|0.0|49.0|1.0|2.0|False|NC
32.0|2.0|21.0|1.0|2300.0|25.0|1.0|40.0|2.0|2.0|False|NC
64.0|1.0|16.0|1.0|9120.0|37.0|0.0|32.0|1.0|1.0|False|NC
61.0|3.0|18.0|1.0|3710.0|17.0|0.0|43.0|1.0|1.0|True|NC
61.0|3.0|19.0|1.0|4020.0|233.0|1.0|30.0|2.0|6.0|False|NC
20.0|1.0|19.0|5.0|4720.0|110.0|2.0|4.0|1.0|9.0|False|NC
39.0|4.0|21.0|1.0|2200.0|37.0|0.0|9.0|2.0|1.0|False|NC
40.0|1.0|22.0|1.0|120.0|37.0|1.0|45.0|1.0|1.0|True|NC
30.0|1.0|21.0|5.0|50.0|12.0|0.0|45.0|2.0|1.0|True|NC
32.0|6.0|21.0|1.0|7510.0|72.0|0.0|21.0|1.0|1.0|False|NC
40.0|6.0|21.0|1.0|1540.0|37.0|0.0|30.0|1.0|1.0|False|NC
39.0|2.0|22.0|1.0|3258.0|37.0|1.0|60.0|2.0|1.0|True|NC
39.0|6.0|16.0|5.0|2750.0|51.0|0.0|50.0|1.0|1.0|False|NC
65.0|1.0|19.0|1.0|4050.0|17.0|1.0|24.0|2.0|1.0|False|NC
34.0|1.0|20.0|1.0|6230.0|216.0|0.0|65.0|1.0|9.0|False|NC
43.0|1.0|21.0|1.0|630.0|48.0|0.0|50.0|2.0|1.0|True|NC
44.0|1.0|16.0|1.0|220.0|51.0|1.0|70.0|1.0|1.0|True|NC
48.0|4.0|16.0|3.0|5520.0|37.0|0.0|40.0|2.0|2.0|False|NC
36.0|5.0|21.0|1.0|9830.0|36.0|0.0|40.0|1.0|1.0|True|NC
31.0|5.0|22.0|1.0|3258.0|50.0|1.0|40.0|2.0|1.0|True|NC
41.0|1.0|19.0|4.0|4000.0|72.0|0.0|50.0|2.0|1.0|False|NC
53.0|1.0|19.0|1.0|3600.0|37.0|0.0|25.0|2.0|2.0|False|NC
55.0|1.0|18.0|1.0|7855.0|37.0|1.0|44.0|1.0|2.0|False|NC
31.0|1.0|19.0|5.0|5240.0|37.0|0.0|40.0|2.0|2.0|False|NC
30.0|1.0|19.0|5.0|4810.0|37.0|12.0|50.0|2.0|2.0|False|NC
35.0|5.0|18.0|1.0|5510.0|37.0|0.0|42.0|1.0|1.0|True|NC
40.0|4.0|21.0|1.0|2310.0|37.0|1.0|48.0|2.0|1.0|False|NC
46.0|1.0|21.0|2.0|735.0|9.0|0.0|44.0|2.0|1.0|False|NC
21.0|1.0|19.0|5.0|725.0|4.0|2.0|20.0|2.0|1.0|False|NC
25.0|1.0|21.0|5.0|2200.0|39.0|0.0|15.0|1.0|1.0|False|NC
68.0|1.0|16.0|2.0|5610.0|6.0|0.0|40.0|2.0|1.0|False|NC
67.0|4.0|16.0|1.0|4220.0|37.0|0.0|2.0|1.0|1.0|False|NC
61.0|3.0|16.0|1.0|430.0|37.0|1.0|40.0|2.0|1.0|False|NC
62.0|1.0|17.0|1.0|4700.0|36.0|0.0|70.0|1.0|1.0|True|NC
39.0|1.0|16.0|4.0|4150.0|36.0|2.0|15.0|2.0|1.0|False|NC
49.0|3.0|19.0|4.0|2540.0|45.0|0.0|40.0|2.0|2.0|False|NC
58.0|1.0|19.0|1.0|7200.0|37.0|0.0|45.0|1.0|1.0|False|NC
58.0|4.0|16.0|1.0|2540.0|22.0|1.0|40.0|2.0|1.0|False|NC
40.0|3.0|21.0|3.0|2320.0|37.0|0.0|45.0|2.0|1.0|False|NC
58.0|3.0|22.0|4.0|2320.0|45.0|13.0|45.0|1.0|1.0|True|NC
35.0|1.0|16.0|4.0|4020.0|37.0|0.0|40.0|2.0|2.0|False|NC
18.0|1.0|19.0|5.0|8460.0|37.0|2.0|40.0|1.0|2.0|False|NC
18.0|1.0|16.0|5.0|4720.0|37.0|2.0|30.0|2.0|2.0|False|NC
17.0|1.0|13.0|5.0|4720.0|37.0|2.0|30.0|1.0|2.0|False|NC
41.0|1.0|16.0|1.0|5620.0|462.0|0.0|40.0|1.0|2.0|False|NC
45.0|1.0|16.0|1.0|4720.0|37.0|1.0|40.0|2.0|2.0|False|NC
20.0|1.0|16.0|5.0|4230.0|37.0|2.0|40.0|2.0|1.0|False|NC
60.0|5.0|18.0|1.0|5550.0|24.0|0.0|40.0|2.0|1.0|False|NC
63.0|5.0|17.0|1.0|5550.0|24.0|1.0|40.0|1.0|1.0|True|NC
58.0|4.0|22.0|5.0|430.0|37.0|0.0|40.0|1.0|2.0|False|NC
70.0|7.0|21.0|1.0|4965.0|37.0|0.0|50.0|1.0|1.0|True|NC
44.0|1.0|16.0|5.0|5700.0|1.0|11.0|40.0|2.0|1.0|False|NC
