AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
34.0|5.0|19.0|1.0|5540.0|40.0|0.0|1.0|2.0|1.0|False|OK
36.0|1.0|19.0|1.0|9130.0|40.0|1.0|40.0|1.0|1.0|False|OK
36.0|1.0|19.0|1.0|8140.0|20.0|0.0|60.0|1.0|1.0|True|OK
33.0|1.0|21.0|1.0|5700.0|40.0|1.0|30.0|2.0|1.0|False|OK
46.0|1.0|16.0|1.0|5700.0|48.0|0.0|40.0|2.0|1.0|False|OK
45.0|1.0|16.0|1.0|20.0|48.0|1.0|40.0|1.0|1.0|True|OK
49.0|1.0|16.0|1.0|1050.0|40.0|0.0|40.0|2.0|1.0|False|OK
51.0|5.0|16.0|1.0|6420.0|40.0|1.0|50.0|1.0|1.0|True|OK
48.0|4.0|21.0|3.0|3255.0|48.0|0.0|40.0|2.0|1.0|False|OK
17.0|1.0|13.0|5.0|4220.0|48.0|2.0|20.0|1.0|1.0|False|OK
70.0|1.0|22.0|1.0|710.0|40.0|0.0|22.0|1.0|1.0|True|OK
68.0|1.0|19.0|1.0|5600.0|6.0|1.0|40.0|2.0|1.0|False|OK
32.0|1.0|21.0|1.0|2340.0|40.0|0.0|4.0|2.0|1.0|False|OK
35.0|1.0|21.0|1.0|1740.0|40.0|1.0|40.0|1.0|1.0|True|OK
47.0|1.0|14.0|1.0|9130.0|40.0|1.0|60.0|1.0|1.0|True|OK
56.0|1.0|19.0|1.0|7140.0|8.0|0.0|40.0|1.0|1.0|True|OK
59.0|1.0|16.0|3.0|9130.0|56.0|12.0|22.0|1.0|1.0|False|OK
43.0|1.0|19.0|4.0|4020.0|40.0|0.0|46.0|2.0|1.0|False|OK
18.0|1.0|14.0|5.0|4020.0|40.0|2.0|16.0|2.0|9.0|False|OK
26.0|1.0|21.0|1.0|4010.0|40.0|0.0|50.0|1.0|1.0|False|OK
22.0|1.0|19.0|1.0|5400.0|40.0|1.0|41.0|2.0|3.0|False|OK
42.0|1.0|15.0|5.0|8965.0|40.0|0.0|40.0|2.0|2.0|False|OK
20.0|1.0|18.0|5.0|4050.0|6.0|2.0|40.0|1.0|2.0|False|OK
47.0|3.0|22.0|1.0|2310.0|29.0|0.0|40.0|2.0|1.0|False|OK
50.0|4.0|22.0|1.0|230.0|40.0|1.0|45.0|1.0|1.0|True|OK
17.0|3.0|18.0|5.0|3955.0|29.0|2.0|20.0|2.0|1.0|False|OK
43.0|2.0|17.0|1.0|3600.0|40.0|0.0|42.0|1.0|2.0|False|OK
33.0|1.0|19.0|1.0|340.0|6.0|1.0|45.0|2.0|2.0|False|OK
28.0|1.0|21.0|4.0|1030.0|48.0|0.0|45.0|2.0|1.0|True|OK
25.0|1.0|21.0|5.0|1107.0|40.0|13.0|30.0|1.0|1.0|False|OK
32.0|7.0|22.0|1.0|9610.0|40.0|0.0|55.0|1.0|1.0|False|OK
30.0|1.0|21.0|1.0|5000.0|40.0|1.0|45.0|2.0|1.0|False|OK
39.0|1.0|19.0|1.0|6420.0|40.0|0.0|40.0|1.0|3.0|True|OK
41.0|6.0|16.0|1.0|4510.0|40.0|1.0|30.0|2.0|3.0|False|OK
23.0|5.0|22.0|1.0|2010.0|40.0|0.0|30.0|2.0|1.0|False|OK
25.0|2.0|19.0|1.0|2040.0|48.0|1.0|30.0|1.0|1.0|False|OK
45.0|1.0|19.0|1.0|2540.0|40.0|0.0|40.0|2.0|1.0|False|OK
45.0|3.0|20.0|1.0|3850.0|5.0|1.0|99.0|1.0|9.0|True|OK
55.0|3.0|19.0|1.0|565.0|26.0|1.0|60.0|1.0|1.0|False|OK
39.0|3.0|19.0|3.0|4600.0|48.0|0.0|40.0|1.0|1.0|False|OK
53.0|3.0|16.0|3.0|4250.0|35.0|13.0|40.0|2.0|1.0|False|OK
47.0|4.0|24.0|1.0|2200.0|36.0|0.0|40.0|1.0|1.0|True|OK
20.0|2.0|16.0|5.0|2740.0|17.0|0.0|40.0|2.0|1.0|False|OK
22.0|1.0|19.0|5.0|4110.0|13.0|12.0|12.0|2.0|1.0|False|OK
28.0|1.0|12.0|1.0|6330.0|303.0|0.0|30.0|1.0|8.0|False|OK
33.0|5.0|21.0|1.0|8620.0|28.0|0.0|40.0|1.0|1.0|True|OK
35.0|4.0|22.0|1.0|2000.0|5.0|1.0|35.0|2.0|1.0|False|OK
31.0|4.0|21.0|5.0|1050.0|20.0|0.0|40.0|1.0|1.0|False|OK
62.0|1.0|19.0|5.0|420.0|40.0|0.0|60.0|2.0|1.0|False|OK
36.0|2.0|17.0|1.0|2540.0|40.0|0.0|36.0|2.0|1.0|False|OK
38.0|1.0|15.0|1.0|140.0|36.0|1.0|40.0|1.0|1.0|True|OK
54.0|6.0|16.0|1.0|6260.0|40.0|1.0|50.0|1.0|1.0|False|OK
63.0|6.0|23.0|5.0|2310.0|40.0|0.0|30.0|1.0|1.0|False|OK
18.0|1.0|14.0|5.0|4720.0|40.0|13.0|15.0|2.0|3.0|False|OK
43.0|1.0|19.0|1.0|4010.0|29.0|0.0|60.0|2.0|1.0|True|OK
48.0|1.0|19.0|1.0|5000.0|202.0|1.0|60.0|1.0|6.0|False|OK
46.0|4.0|21.0|5.0|2310.0|40.0|2.0|50.0|1.0|9.0|False|OK
62.0|2.0|22.0|1.0|136.0|40.0|0.0|40.0|1.0|1.0|True|OK
45.0|4.0|17.0|1.0|420.0|40.0|0.0|50.0|2.0|1.0|True|OK
56.0|1.0|21.0|1.0|4700.0|20.0|1.0|55.0|1.0|1.0|False|OK
40.0|1.0|21.0|1.0|3255.0|6.0|0.0|36.0|2.0|1.0|True|OK
36.0|3.0|21.0|1.0|3850.0|40.0|1.0|40.0|1.0|1.0|True|OK
42.0|1.0|18.0|5.0|1050.0|6.0|5.0|36.0|1.0|1.0|False|OK
66.0|1.0|21.0|2.0|3255.0|6.0|6.0|24.0|2.0|1.0|False|OK
55.0|1.0|1.0|1.0|4220.0|6.0|0.0|40.0|1.0|1.0|False|OK
53.0|6.0|16.0|1.0|9130.0|48.0|1.0|48.0|2.0|1.0|True|OK
19.0|1.0|16.0|5.0|4110.0|40.0|2.0|20.0|1.0|1.0|False|OK
42.0|4.0|18.0|1.0|5360.0|40.0|0.0|40.0|2.0|2.0|False|OK
43.0|4.0|18.0|1.0|9130.0|40.0|1.0|40.0|1.0|2.0|False|OK
17.0|1.0|15.0|5.0|4230.0|40.0|2.0|10.0|1.0|2.0|False|OK
79.0|6.0|23.0|1.0|2100.0|40.0|0.0|40.0|1.0|1.0|True|OK
47.0|5.0|18.0|3.0|5560.0|40.0|0.0|48.0|2.0|1.0|True|OK
62.0|1.0|24.0|1.0|3000.0|40.0|0.0|33.0|2.0|1.0|False|OK
62.0|7.0|24.0|1.0|710.0|40.0|1.0|40.0|2.0|1.0|False|OK
57.0|1.0|16.0|3.0|9600.0|40.0|2.0|56.0|1.0|9.0|False|OK
65.0|1.0|21.0|1.0|5700.0|29.0|0.0|40.0|2.0|1.0|False|OK
60.0|1.0|20.0|1.0|4850.0|40.0|1.0|45.0|1.0|1.0|True|OK
31.0|1.0|21.0|5.0|2850.0|40.0|0.0|40.0|1.0|1.0|False|OK
43.0|1.0|16.0|1.0|4700.0|20.0|0.0|38.0|2.0|1.0|False|OK
49.0|7.0|19.0|1.0|430.0|40.0|1.0|40.0|1.0|1.0|True|OK
19.0|1.0|16.0|5.0|6230.0|40.0|2.0|40.0|1.0|1.0|False|OK
30.0|1.0|21.0|1.0|5600.0|40.0|0.0|40.0|1.0|3.0|True|OK
32.0|1.0|16.0|1.0|2340.0|40.0|10.0|8.0|1.0|3.0|False|OK
40.0|1.0|21.0|1.0|4760.0|39.0|0.0|45.0|1.0|1.0|True|OK
40.0|1.0|21.0|1.0|420.0|40.0|1.0|30.0|2.0|1.0|False|OK
61.0|1.0|16.0|1.0|9130.0|40.0|1.0|45.0|1.0|1.0|True|OK
38.0|1.0|21.0|1.0|5160.0|40.0|0.0|40.0|2.0|1.0|False|OK
42.0|3.0|16.0|1.0|6440.0|40.0|1.0|40.0|1.0|1.0|False|OK
