AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
20.0|6.0|19.0|5.0|9640.0|48.0|0.0|35.0|2.0|1.0|False|SC
48.0|1.0|16.0|1.0|4220.0|45.0|0.0|40.0|1.0|1.0|False|SC
48.0|1.0|16.0|1.0|2540.0|53.0|1.0|37.0|2.0|1.0|False|SC
32.0|5.0|21.0|5.0|5700.0|17.0|0.0|40.0|1.0|1.0|True|SC
61.0|1.0|16.0|4.0|4600.0|45.0|0.0|21.0|2.0|2.0|False|SC
21.0|3.0|16.0|5.0|4230.0|45.0|7.0|40.0|1.0|2.0|False|SC
23.0|1.0|18.0|5.0|5240.0|45.0|10.0|40.0|2.0|2.0|False|SC
72.0|2.0|22.0|1.0|2040.0|37.0|1.0|35.0|1.0|1.0|True|SC
22.0|1.0|21.0|5.0|9130.0|45.0|0.0|36.0|1.0|1.0|False|SC
43.0|7.0|21.0|1.0|2825.0|45.0|0.0|80.0|1.0|1.0|True|SC
42.0|6.0|15.0|1.0|4650.0|45.0|1.0|30.0|2.0|1.0|False|SC
21.0|2.0|16.0|5.0|4600.0|45.0|2.0|40.0|2.0|1.0|False|SC
50.0|1.0|16.0|1.0|9120.0|45.0|0.0|40.0|1.0|2.0|False|SC
55.0|3.0|12.0|2.0|4610.0|13.0|0.0|13.0|2.0|1.0|False|SC
47.0|1.0|16.0|1.0|9130.0|12.0|1.0|40.0|1.0|2.0|True|SC
39.0|1.0|20.0|1.0|3420.0|51.0|0.0|32.0|2.0|1.0|False|SC
41.0|1.0|16.0|1.0|8030.0|45.0|1.0|40.0|1.0|1.0|False|SC
55.0|1.0|18.0|1.0|3930.0|45.0|0.0|50.0|1.0|1.0|True|SC
38.0|6.0|15.0|1.0|9130.0|45.0|0.0|30.0|1.0|1.0|False|SC
23.0|1.0|20.0|5.0|310.0|44.0|0.0|50.0|1.0|1.0|False|SC
45.0|3.0|21.0|1.0|3710.0|45.0|0.0|40.0|1.0|1.0|True|SC
39.0|1.0|19.0|4.0|5400.0|45.0|2.0|40.0|2.0|2.0|False|SC
33.0|1.0|19.0|5.0|3600.0|45.0|0.0|40.0|2.0|2.0|False|SC
33.0|1.0|23.0|5.0|2100.0|24.0|0.0|70.0|2.0|1.0|True|SC
42.0|1.0|17.0|1.0|6420.0|45.0|2.0|40.0|1.0|1.0|False|SC
39.0|1.0|16.0|3.0|8320.0|45.0|9.0|28.0|2.0|1.0|False|SC
44.0|7.0|23.0|5.0|3010.0|39.0|0.0|45.0|2.0|1.0|True|SC
38.0|1.0|22.0|5.0|3110.0|45.0|13.0|36.0|2.0|1.0|False|SC
78.0|1.0|21.0|1.0|725.0|34.0|0.0|1.0|1.0|1.0|False|SC
73.0|1.0|18.0|1.0|725.0|36.0|1.0|1.0|2.0|1.0|False|SC
61.0|1.0|19.0|2.0|2340.0|247.0|0.0|4.0|2.0|6.0|False|SC
59.0|6.0|16.0|3.0|6420.0|10.0|12.0|20.0|2.0|1.0|False|SC
43.0|2.0|16.0|5.0|4600.0|341.0|12.0|15.0|2.0|7.0|False|SC
29.0|1.0|21.0|5.0|2630.0|12.0|0.0|40.0|2.0|1.0|True|SC
30.0|1.0|18.0|5.0|5860.0|12.0|13.0|40.0|1.0|1.0|False|SC
71.0|1.0|16.0|1.0|3930.0|29.0|1.0|32.0|1.0|1.0|False|SC
41.0|1.0|17.0|5.0|6230.0|45.0|2.0|30.0|1.0|1.0|False|SC
60.0|1.0|20.0|3.0|4700.0|37.0|0.0|40.0|1.0|1.0|True|SC
32.0|1.0|21.0|1.0|7750.0|45.0|0.0|56.0|1.0|2.0|False|SC
22.0|1.0|21.0|1.0|5620.0|37.0|1.0|50.0|2.0|2.0|False|SC
39.0|1.0|19.0|3.0|4610.0|45.0|0.0|40.0|2.0|2.0|False|SC
76.0|7.0|23.0|1.0|2100.0|45.0|1.0|40.0|1.0|1.0|True|SC
27.0|1.0|20.0|5.0|4040.0|45.0|0.0|30.0|2.0|1.0|False|SC
27.0|1.0|20.0|5.0|3310.0|45.0|5.0|28.0|2.0|1.0|False|SC
45.0|1.0|21.0|1.0|4810.0|24.0|0.0|50.0|1.0|1.0|True|SC
47.0|1.0|21.0|1.0|4760.0|45.0|1.0|30.0|2.0|1.0|False|SC
18.0|1.0|19.0|5.0|4760.0|24.0|2.0|10.0|1.0|1.0|False|SC
58.0|1.0|21.0|1.0|1530.0|48.0|0.0|60.0|1.0|1.0|True|SC
55.0|2.0|19.0|1.0|2040.0|45.0|1.0|60.0|2.0|1.0|False|SC
39.0|3.0|21.0|5.0|136.0|45.0|0.0|40.0|2.0|2.0|True|SC
57.0|1.0|16.0|3.0|136.0|217.0|13.0|36.0|2.0|6.0|False|SC
49.0|1.0|20.0|5.0|2340.0|45.0|0.0|40.0|2.0|2.0|False|SC
45.0|1.0|1.0|5.0|8740.0|45.0|0.0|8.0|2.0|2.0|False|SC
53.0|6.0|22.0|3.0|430.0|25.0|0.0|30.0|2.0|1.0|True|SC
23.0|1.0|20.0|5.0|8030.0|45.0|0.0|45.0|1.0|1.0|True|SC
61.0|1.0|21.0|1.0|430.0|45.0|1.0|60.0|1.0|1.0|True|SC
