AGEP|COW|SCHL|MAR|OCCP|POBP|RELP|WKHP|SEX|RAC1P|Y|STATE
68.0|7.0|22.0|1.0|710.0|1.0|1.0|50.0|1.0|1.0|True|TN
39.0|1.0|19.0|5.0|2540.0|12.0|2.0|35.0|2.0|1.0|False|TN
37.0|1.0|20.0|5.0|4110.0|12.0|2.0|50.0|1.0|1.0|False|TN
20.0|1.0|19.0|5.0|3600.0|47.0|0.0|40.0|2.0|2.0|False|TN
77.0|1.0|12.0|2.0|4220.0|47.0|0.0|25.0|1.0|1.0|True|TN
61.0|1.0|19.0|1.0|5550.0|47.0|0.0|40.0|1.0|2.0|False|TN
57.0|1.0|21.0|1.0|430.0|47.0|1.0|40.0|2.0|2.0|True|TN
29.0|1.0|16.0|5.0|6440.0|47.0|3.0|40.0|1.0|1.0|False|TN
37.0|6.0|21.0|4.0|710.0|17.0|0.0|70.0|1.0|1.0|True|TN
53.0|7.0|21.0|3.0|430.0|25.0|0.0|50.0|1.0|1.0|True|TN
74.0|1.0|21.0|3.0|10.0|126.0|6.0|40.0|2.0|1.0|True|TN
58.0|2.0|16.0|1.0|4020.0|28.0|0.0|24.0|2.0|2.0|False|TN
52.0|1.0|18.0|1.0|4850.0|36.0|0.0|50.0|1.0|1.0|True|TN
48.0|1.0|20.0|1.0|110.0|28.0|1.0|50.0|2.0|1.0|True|TN
22.0|1.0|20.0|5.0|3420.0|42.0|2.0|60.0|2.0|1.0|False|TN
51.0|1.0|22.0|1.0|5110.0|370.0|0.0|40.0|2.0|1.0|False|TN
55.0|1.0|22.0|1.0|725.0|332.0|1.0|60.0|1.0|1.0|False|TN
25.0|1.0|16.0|5.0|430.0|370.0|2.0|50.0|1.0|1.0|True|TN
29.0|3.0|23.0|1.0|3850.0|47.0|0.0|80.0|1.0|1.0|True|TN
30.0|6.0|21.0|1.0|2910.0|47.0|1.0|20.0|2.0|1.0|False|TN
61.0|4.0|24.0|1.0|2100.0|47.0|0.0|40.0|1.0|1.0|True|TN
56.0|2.0|20.0|1.0|3255.0|28.0|1.0|24.0|2.0|1.0|False|TN
59.0|1.0|20.0|1.0|5400.0|47.0|1.0|35.0|2.0|1.0|False|TN
56.0|6.0|16.0|1.0|6520.0|47.0|0.0|40.0|1.0|1.0|False|TN
54.0|3.0|16.0|1.0|5700.0|47.0|1.0|40.0|2.0|1.0|False|TN
29.0|1.0|16.0|5.0|9640.0|54.0|2.0|40.0|1.0|1.0|False|TN
40.0|6.0|17.0|3.0|430.0|47.0|0.0|40.0|1.0|1.0|False|TN
35.0|6.0|14.0|2.0|4230.0|47.0|13.0|15.0|2.0|1.0|False|TN
25.0|4.0|21.0|5.0|2330.0|47.0|0.0|50.0|2.0|1.0|True|TN
32.0|5.0|21.0|1.0|2340.0|5.0|0.0|46.0|1.0|1.0|True|TN
29.0|1.0|16.0|1.0|4600.0|5.0|1.0|35.0|2.0|1.0|False|TN
24.0|1.0|16.0|1.0|7855.0|47.0|0.0|48.0|1.0|1.0|False|TN
20.0|1.0|18.0|1.0|4110.0|47.0|1.0|29.0|2.0|1.0|False|TN
26.0|1.0|17.0|3.0|4030.0|47.0|5.0|40.0|1.0|1.0|False|TN
45.0|2.0|17.0|1.0|4720.0|47.0|6.0|30.0|2.0|1.0|False|TN
44.0|1.0|17.0|1.0|9130.0|47.0|8.0|40.0|1.0|1.0|False|TN
48.0|4.0|19.0|3.0|3850.0|39.0|0.0|40.0|2.0|1.0|False|TN
20.0|4.0|19.0|5.0|4600.0|1.0|2.0|15.0|2.0|1.0|False|TN
18.0|4.0|16.0|5.0|4600.0|1.0|2.0|30.0|2.0|1.0|False|TN
28.0|1.0|21.0|4.0|3255.0|28.0|0.0|50.0|1.0|1.0|True|TN
59.0|1.0|16.0|1.0|9360.0|47.0|1.0|45.0|1.0|2.0|False|TN
66.0|1.0|22.0|1.0|5240.0|48.0|0.0|40.0|1.0|1.0|False|TN
60.0|1.0|14.0|1.0|9620.0|47.0|1.0|40.0|2.0|1.0|False|TN
22.0|1.0|19.0|5.0|4600.0|47.0|2.0|40.0|2.0|1.0|False|TN
65.0|4.0|16.0|5.0|3930.0|47.0|0.0|40.0|1.0|2.0|False|TN
58.0|1.0|16.0|5.0|7750.0|47.0|0.0|54.0|1.0|2.0|False|TN
70.0|2.0|22.0|1.0|2320.0|47.0|1.0|15.0|1.0|1.0|True|TN
42.0|1.0|16.0|3.0|5140.0|48.0|2.0|40.0|2.0|1.0|False|TN
49.0|1.0|21.0|1.0|3255.0|17.0|0.0|40.0|2.0|1.0|False|TN
56.0|6.0|20.0|1.0|4220.0|17.0|1.0|25.0|2.0|1.0|False|TN
37.0|5.0|20.0|3.0|430.0|139.0|0.0|80.0|1.0|1.0|True|TN
54.0|7.0|19.0|1.0|5700.0|47.0|0.0|30.0|2.0|1.0|False|TN
57.0|7.0|18.0|1.0|8030.0|47.0|1.0|40.0|1.0|1.0|True|TN
64.0|1.0|18.0|1.0|3500.0|47.0|1.0|33.0|2.0|1.0|False|TN
72.0|1.0|21.0|1.0|205.0|47.0|0.0|60.0|1.0|1.0|True|TN
56.0|1.0|11.0|3.0|4220.0|47.0|0.0|40.0|2.0|1.0|False|TN
58.0|1.0|17.0|2.0|9640.0|47.0|0.0|40.0|2.0|1.0|False|TN
41.0|1.0|16.0|1.0|6230.0|18.0|0.0|40.0|1.0|1.0|False|TN
43.0|1.0|19.0|1.0|4710.0|39.0|1.0|40.0|2.0|1.0|False|TN
17.0|1.0|14.0|5.0|4760.0|47.0|2.0|15.0|2.0|1.0|False|TN
63.0|1.0|11.0|2.0|3600.0|51.0|10.0|40.0|2.0|1.0|False|TN
48.0|1.0|21.0|1.0|1106.0|316.0|0.0|47.0|1.0|1.0|True|TN
39.0|2.0|21.0|1.0|4600.0|47.0|1.0|18.0|2.0|1.0|False|TN
53.0|2.0|16.0|3.0|5810.0|39.0|0.0|40.0|2.0|1.0|False|TN
57.0|5.0|16.0|2.0|430.0|24.0|0.0|40.0|2.0|1.0|True|TN
56.0|1.0|16.0|3.0|4110.0|28.0|0.0|40.0|1.0|2.0|False|TN
63.0|1.0|21.0|5.0|5700.0|451.0|15.0|40.0|2.0|2.0|False|TN
37.0|1.0|16.0|1.0|20.0|12.0|0.0|60.0|1.0|1.0|True|TN
45.0|1.0|1.0|5.0|310.0|47.0|2.0|40.0|2.0|1.0|False|TN
66.0|6.0|16.0|1.0|4510.0|28.0|0.0|21.0|2.0|1.0|False|TN
67.0|2.0|20.0|1.0|2040.0|47.0|1.0|40.0|1.0|1.0|True|TN
53.0|1.0|19.0|1.0|50.0|47.0|0.0|40.0|2.0|1.0|False|TN
55.0|1.0|21.0|1.0|5300.0|47.0|1.0|30.0|1.0|1.0|False|TN
24.0|1.0|16.0|1.0|4010.0|364.0|0.0|42.0|2.0|1.0|False|TN
25.0|3.0|19.0|1.0|410.0|36.0|1.0|40.0|1.0|1.0|False|TN
67.0|1.0|19.0|1.0|7340.0|29.0|1.0|48.0|1.0|1.0|True|TN
43.0|2.0|19.0|2.0|2040.0|47.0|0.0|40.0|2.0|1.0|False|TN
62.0|1.0|18.0|5.0|5120.0|37.0|10.0|60.0|2.0|1.0|False|TN
54.0|6.0|23.0|3.0|800.0|47.0|0.0|12.0|1.0|1.0|False|TN
24.0|1.0|21.0|5.0|630.0|47.0|10.0|40.0|1.0|1.0|False|TN
87.0|1.0|19.0|1.0|3930.0|1.0|0.0|18.0|1.0|1.0|False|TN
53.0|6.0|23.0|1.0|2200.0|210.0|1.0|50.0|1.0|6.0|True|TN
24.0|2.0|21.0|5.0|3648.0|47.0|2.0|50.0|2.0|9.0|False|TN
56.0|1.0|21.0|1.0|800.0|47.0|0.0|45.0|2.0|1.0|True|TN
53.0|1.0|18.0|1.0|1010.0|47.0|1.0|50.0|1.0|1.0|True|TN
23.0|1.0|19.0|5.0|7315.0|47.0|2.0|40.0|1.0|1.0|False|TN
53.0|1.0|20.0|1.0|3030.0|6.0|1.0|47.0|2.0|1.0|False|TN
38.0|1.0|16.0|1.0|430.0|54.0|1.0|50.0|2.0|2.0|True|TN
44.0|1.0|13.0|1.0|5240.0|47.0|0.0|40.0|2.0|1.0|False|TN
45.0|6.0|13.0|1.0|205.0|1.0|1.0|40.0|1.0|1.0|False|TN
18.0|1.0|14.0|5.0|6050.0|47.0|2.0|10.0|1.0|1.0|False|TN
62.0|6.0|18.0|3.0|4920.0|47.0|0.0|40.0|1.0|1.0|True|TN
29.0|1.0|21.0|5.0|5700.0|110.0|0.0|50.0|2.0|1.0|True|TN
56.0|1.0|11.0|5.0|8800.0|28.0|0.0|15.0|1.0|2.0|False|TN
61.0|6.0|16.0|4.0|6420.0|47.0|0.0|25.0|1.0|1.0|False|TN
32.0|1.0|19.0|1.0|8965.0|47.0|1.0|48.0|1.0|1.0|True|TN
45.0|1.0|16.0|4.0|1540.0|47.0|0.0|40.0|1.0|1.0|False|TN
25.0|1.0|17.0|1.0|5820.0|25.0|0.0|40.0|2.0|1.0|False|TN
26.0|4.0|21.0|1.0|2010.0|47.0|1.0|40.0|1.0|1.0|False|TN
46.0|1.0|19.0|5.0|5240.0|47.0|0.0|40.0|2.0|2.0|False|TN
24.0|1.0|16.0|5.0|9620.0|47.0|2.0|27.0|1.0|2.0|False|TN
34.0|1.0|21.0|5.0|1050.0|47.0|0.0|40.0|2.0|1.0|False|TN
64.0|1.0|16.0|2.0|7810.0|47.0|6.0|40.0|1.0|1.0|False|TN
54.0|1.0|20.0|1.0|3310.0|47.0|0.0|40.0|2.0|1.0|True|TN
60.0|6.0|21.0|1.0|4760.0|48.0|1.0|30.0|1.0|1.0|True|TN
21.0|1.0|16.0|5.0|9620.0|47.0|2.0|20.0|1.0|1.0|False|TN
18.0|1.0|16.0|5.0|4110.0|47.0|2.0|20.0|2.0|1.0|False|TN
18.0|1.0|16.0|5.0|4720.0|47.0|2.0|25.0|2.0|1.0|False|TN
74.0|1.0|17.0|1.0|3645.0|47.0|1.0|1.0|1.0|1.0|False|TN
64.0|7.0|24.0|1.0|3060.0|55.0|0.0|18.0|1.0|1.0|False|TN
59.0|1.0|19.0|1.0|5110.0|25.0|1.0|15.0|2.0|1.0|False|TN
26.0|3.0|21.0|1.0|5240.0|21.0|0.0|40.0|2.0|1.0|True|TN
30.0|1.0|22.0|1.0|9000.0|55.0|1.0|40.0|1.0|1.0|False|TN
35.0|1.0|16.0|5.0|3640.0|47.0|2.0|20.0|2.0|1.0|False|TN
60.0|1.0|19.0|1.0|8300.0|19.0|15.0|40.0|2.0|1.0|False|TN
24.0|1.0|19.0|5.0|4020.0|47.0|0.0|15.0|1.0|2.0|False|TN
24.0|1.0|19.0|1.0|7200.0|47.0|5.0|15.0|2.0|2.0|False|TN
54.0|1.0|20.0|3.0|5240.0|47.0|0.0|40.0|2.0|1.0|False|TN
62.0|1.0|23.0|1.0|4810.0|53.0|0.0|60.0|1.0|1.0|True|TN
63.0|1.0|16.0|1.0|4140.0|47.0|1.0|38.0|1.0|2.0|False|TN
54.0|1.0|23.0|1.0|3060.0|21.0|0.0|30.0|2.0|1.0|True|TN
43.0|1.0|23.0|1.0|3060.0|39.0|1.0|40.0|1.0|1.0|True|TN
26.0|3.0|22.0|5.0|2000.0|47.0|0.0|40.0|2.0|1.0|False|TN
38.0|5.0|16.0|3.0|5550.0|47.0|2.0|40.0|1.0|1.0|False|TN
46.0|1.0|20.0|1.0|8800.0|47.0|0.0|46.0|1.0|1.0|False|TN
43.0|1.0|16.0|1.0|4110.0|47.0|1.0|48.0|2.0|1.0|False|TN
42.0|1.0|21.0|1.0|3420.0|414.0|0.0|38.0|1.0|9.0|False|TN
36.0|1.0|18.0|1.0|4110.0|414.0|1.0|35.0|2.0|9.0|False|TN
