features,imp_avg,imp_std
AGEP,1213.3333333333333,1009.7928280372937
WKHP,873.3333333333334,668.835721401169
POBP,791.6666666666666,789.0812519774008
SCHL,654.5,484.87378082685944
COW,625.0,379.2527741054331
RELP,380.3333333333333,279.0344463004921
onehot__x0_0,143.0,78.52812659593164
onehot__x1_6,108.33333333333333,74.43490817859289
onehot__x4_3255.0,88.83333333333333,34.46939060802916
onehot__x2_2,86.0,58.40091323486874
onehot__x1_1,80.66666666666667,55.62573345334174
onehot__x4_430.0,78.83333333333333,35.38557458751926
onehot__x3_5.0,68.66666666666667,47.02363471938576
onehot__x3_1.0,67.16666666666667,53.239761665715804
onehot__x2_3,65.5,49.96248592694322
onehot__x2_0,64.83333333333333,28.032223521432535
onehot__x4_2310.0,63.166666666666664,28.310284742867253
onehot__x2_8,58.833333333333336,52.387710602986104
onehot__x2_5,57.666666666666664,64.8836565622568
onehot__x4_1020.0,54.333333333333336,15.326085243430198
onehot__x4_9130.0,52.666666666666664,22.23860507216124
onehot__x2_4,47.666666666666664,34.1158158174312
onehot__x4_10.0,46.5,14.338177476002079
onehot__x2_6,46.333333333333336,38.6551707048646
onehot__x2_7,43.166666666666664,46.35880594761786
onehot__x4_710.0,42.833333333333336,15.442545846531337
onehot__x4_4020.0,41.0,11.195237082497776
onehot__x4_120.0,41.0,11.372481406154654
onehot__x4_800.0,38.833333333333336,16.46629554237652
onehot__x4_110.0,38.166666666666664,10.006942034852049
onehot__x4_4220.0,37.666666666666664,11.498792207106893
onehot__x4_9620.0,37.5,11.4564392373896
onehot__x4_1530.0,37.333333333333336,9.231588282750819
onehot__x0_1,36.5,28.441460346941867
onehot__x4_1006.0,36.333333333333336,11.396880664852505
onehot__x4_1107.0,35.833333333333336,12.889487533990204
onehot__x4_3060.0,35.833333333333336,13.679871669313602
onehot__x2_1,35.666666666666664,35.45262880082222
onehot__x4_50.0,35.666666666666664,12.27010821287064
onehot__x4_5700.0,34.166666666666664,15.836841716565697
onehot__x4_350.0,33.833333333333336,10.699169230469355
onehot__x4_3258.0,33.666666666666664,8.178562764256865
onehot__x4_20.0,32.5,10.626225419530053
onehot__x4_5620.0,32.0,9.814954576223638
onehot__x4_2300.0,32.0,8.660254037844387
onehot__x4_4710.0,31.833333333333332,13.132868012061275
onehot__x3_3.0,31.5,31.234329404252197
onehot__x4_1010.0,31.333333333333332,11.070481270277076
onehot__x4_4760.0,31.333333333333332,18.217817895919612
onehot__x4_4250.0,31.166666666666668,10.82307206336948
onehot__x4_2540.0,30.5,8.361618663073955
onehot__x4_3050.0,30.166666666666668,10.792229715041383
onehot__x3_2.0,30.0,21.694853460363973
onehot__x4_4720.0,29.833333333333332,7.470311610338323
onehot__x4_4110.0,29.833333333333332,6.309164410249233
onehot__x4_4850.0,29.666666666666668,11.279282877125754
onehot__x4_3320.0,29.5,10.828203913853857
onehot__x4_4600.0,29.5,8.139410298049853
onehot__x4_3600.0,28.833333333333332,10.730279068546581
onehot__x4_4920.0,28.833333333333332,12.482209562235187
onehot__x4_4230.0,28.833333333333332,6.309164410249234
onehot__x4_230.0,28.666666666666668,9.706813185707357
onehot__x4_3310.0,28.666666666666668,10.290232693622087
onehot__x4_1360.0,28.0,7.164728420068226
onehot__x4_7750.0,28.0,9.055385138137417
onehot__x4_220.0,27.833333333333332,8.858454843945541
onehot__x4_5400.0,27.666666666666668,7.738791177495933
onehot__x4_136.0,27.666666666666668,9.672412085697939
onehot__x4_5240.0,27.666666666666668,7.71722460186015
onehot__x4_4610.0,27.333333333333332,8.975274678557506
onehot__x4_6200.0,27.166666666666668,13.764890926637312
onehot__x4_9600.0,27.166666666666668,8.89600409672168
onehot__x4_6260.0,26.666666666666668,11.897712198383164
onehot__x4_850.0,26.166666666666668,7.470311610338323
onehot__x4_6050.0,25.5,8.0156097709407
onehot__x4_2100.0,25.333333333333332,9.961035198322623
onehot__x4_9030.0,25.166666666666668,7.243771270700242
onehot__x4_2040.0,25.0,7.461009761866464
onehot__x4_3930.0,24.666666666666668,11.455226851626389
onehot__x1_4,24.5,17.774044746952413
onehot__x4_6230.0,24.166666666666668,8.47381587925744
onehot__x4_3160.0,23.666666666666668,5.792715732327589
onehot__x4_4840.0,23.666666666666668,10.274023338281628
onehot__x4_1410.0,23.666666666666668,5.374838498865699
onehot__x4_2200.0,23.5,12.298373876248844
onehot__x4_3645.0,23.5,4.193248541803041
onehot__x4_4700.0,23.333333333333332,9.01233722306385
onehot__x4_4030.0,23.166666666666668,3.7155828016013257
onehot__x4_1430.0,23.0,6.928203230275509
onehot__x4_7700.0,22.833333333333332,10.605292179955356
onehot__x4_1460.0,22.833333333333332,6.643710475998249
onehot__x4_1106.0,22.666666666666668,6.599663291074444
onehot__x4_7810.0,22.666666666666668,6.674994798166928
onehot__x4_3420.0,22.0,9.46924847422786
onehot__x4_5610.0,21.833333333333332,7.174414416676962
onehot__x4_7410.0,21.666666666666668,6.69991708074726
onehot__x4_5860.0,21.5,8.902246907382429
onehot__x4_300.0,21.333333333333332,7.133644853010899
onehot__x4_2320.0,21.333333333333332,8.556998435328957
onehot__x4_3110.0,20.833333333333332,5.112620550059322
onehot__x4_8965.0,20.666666666666668,9.910712498212337
onehot__x4_9140.0,20.5,6.13052471924984
onehot__x4_2000.0,20.5,11.250925887825113
onehot__x4_6420.0,19.833333333333332,6.202598021976132
onehot__x4_7140.0,19.666666666666668,5.821416398857661
onehot__x4_5160.0,19.5,5.188127472091127
onehot__x4_150.0,19.5,5.439056290693573
onehot__x4_910.0,19.5,8.118907972545733
onehot__x1_0,19.5,17.661162664634134
onehot__x4_8320.0,19.166666666666668,5.727613425813194
onehot__x4_4040.0,19.166666666666668,6.202598021976132
onehot__x4_1105.0,18.833333333333332,4.844813951249544
onehot__x4_3010.0,18.833333333333332,5.550275268448904
onehot__x4_5520.0,18.833333333333332,7.945998294040145
onehot__x4_1060.0,18.833333333333332,5.304610154279849
onehot__x4_5120.0,18.666666666666668,8.498365855987974
onehot__x4_7200.0,18.666666666666668,7.386173268720113
onehot__x4_1320.0,18.666666666666668,7.272474743090476
onehot__x4_630.0,18.5,6.157651067303722
onehot__x4_140.0,18.333333333333332,6.289320754704402
onehot__x4_1007.0,18.166666666666668,5.145116346811044
onehot__x4_1050.0,18.0,4.864839839775475
onehot__x4_410.0,18.0,6.733003292241386
onehot__x4_3150.0,17.833333333333332,8.234412884690418
