features,final_ranking_points,final_ranking
WKHP,6,1
SCHL,12,2
onehot__x4_1106.0,25,3
AGEP,32,4
onehot__x4_4930.0,36,5
onehot__x4_1320.0,46,6
onehot__x4_300.0,50,7
onehot__x4_1350.0,54,8
onehot__x4_4030.0,59,9
onehot__x4_820.0,68,10
onehot__x4_3258.0,83,11
onehot__x4_4130.0,92,12
onehot__x4_4140.0,97,13
onehot__x4_3256.0,99,14
onehot__x4_1007.0,107,15
onehot__x4_4040.0,108,16
onehot__x4_4120.0,115,17
onehot__x4_4110.0,131,18
onehot__x4_3010.0,134,19
onehot__x4_4050.0,135,20
onehot__x4_6100.0,140,21
onehot__x4_4020.0,141,22
onehot__x0_0,142,23
onehot__x4_1020.0,149,24
onehot__x4_1410.0,154,25
onehot__x4_3250.0,162,26
onehot__x4_7810.0,177,27
onehot__x4_3649.0,179,28
onehot__x4_3110.0,180,29
onehot__x4_1530.0,186,30
onehot__x4_1650.0,194,31
onehot__x4_5320.0,207,32
onehot__x4_1060.0,221,33
onehot__x4_110.0,223,34
onehot__x4_9040.0,224,35
onehot__x4_8320.0,225,36
onehot__x4_4230.0,231,37
onehot__x4_8420.0,238,38
onehot__x4_6730.0,254,39
onehot__x4_4600.0,275,40
onehot__x4_1520.0,277,41
onehot__x4_3645.0,279,42
onehot__x4_8630.0,284,43
onehot__x4_3050.0,289,44
onehot__x4_5300.0,296,45
onehot__x4_1006.0,297,46
onehot__x4_3040.0,298,47
onehot__x4_1420.0,303,48
onehot__x4_3060.0,307,49
onehot__x4_1360.0,311,50
onehot__x4_7800.0,320,51
onehot__x4_3200.0,321,52
onehot__x4_1460.0,323,53
onehot__x4_850.0,346,54
onehot__x4_4150.0,354,55
onehot__x4_4720.0,358,56
onehot__x4_1220.0,359,57
onehot__x4_3160.0,359,58
onehot__x4_2300.0,367,59
onehot__x4_8350.0,372,60
onehot__x4_5160.0,376,61
onehot__x4_3150.0,392,62
onehot__x4_1400.0,400,63
onehot__x4_4610.0,401,64
onehot__x4_1010.0,404,65
onehot__x4_840.0,415,66
onehot__x4_1430.0,418,67
onehot__x4_10.0,423,68
onehot__x4_8300.0,446,69
onehot__x4_9030.0,460,70
onehot__x4_135.0,464,71
onehot__x0_1,469,72
onehot__x4_5400.0,476,73
onehot__x4_9140.0,489,74
onehot__x4_2840.0,490,75
onehot__x4_3648.0,497,76
onehot__x4_6050.0,500,77
onehot__x4_7950.0,502,78
onehot__x4_5540.0,515,79
onehot__x4_1720.0,523,80
onehot__x4_2100.0,526,81
onehot__x4_9200.0,531,82
onehot__x4_8410.0,544,83
onehot__x4_150.0,551,84
onehot__x4_1240.0,552,85
onehot__x4_4530.0,553,86
onehot__x4_3646.0,556,87
onehot__x4_710.0,558,88
onehot__x4_6600.0,560,89
onehot__x4_4640.0,565,90
onehot__x4_1200.0,568,91
onehot__x4_5620.0,579,92
onehot__x4_1800.0,579,93
onehot__x4_1450.0,583,94
onehot__x4_4650.0,584,95
onehot__x4_3600.0,590,96
onehot__x4_4250.0,607,97
onehot__x4_8600.0,623,98
onehot__x4_9640.0,624,99
onehot__x4_1930.0,638,100
onehot__x4_5550.0,646,101
onehot__x4_9720.0,648,102
onehot__x4_6220.0,650,103
onehot__x4_8100.0,654,104
onehot__x4_3955.0,656,105
onehot__x4_50.0,666,106
onehot__x4_4060.0,667,107
onehot__x4_1105.0,669,108
onehot__x4_9240.0,671,109
onehot__x4_2540.0,686,110
onehot__x4_350.0,687,111
onehot__x4_6330.0,689,112
onehot__x4_360.0,693,113
onehot__x4_120.0,695,114
onehot__x4_1710.0,701,115
onehot__x4_4340.0,707,116
onehot__x4_4430.0,708,117
RELP,712,118
onehot__x4_136.0,713,119
onehot__x4_1740.0,717,120
onehot__x4_9150.0,720,121
onehot__x4_1107.0,725,122
onehot__x4_5560.0,726,123
onehot__x4_7510.0,730,124
onehot__x4_140.0,732,125
onehot__x4_7720.0,733,126
onehot__x4_7410.0,738,127
onehot__x4_7260.0,746,128
